ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
800;IMUNF;IMUNOFENOTIPAGEM;04 dias úteis;"Imunofenotipagem,  Painel proliferativo;           ,  Fenotipagem de Linfomas;                       ,           Fenotipagem de Leucemias";COLETA195, Volume38;Diversos materiais;Citometria de fluxo em aparelho Dx-Flex com 10 cores;"- (IMUNF)COLETA:Sangue periferico (EDTA):
Coletar 01 tubo com de EDTA (tampa roxa) mínimo 2 mL. Enviar imediatamente após a coleta.
Medula Óssea (M.O.) - procedimento médico:Encaminhar o aspirado de M.O. em tubo com EDTA (tampa roxa) mínimo 2mL/maximo 4mL
 por tubo e duas lâminas (esfregaços de M.O.), imediatamente após a coleta.
Líquor (meio específico TRANSFIX), linfonodo, líquido ascítico, líquido pleural - procedimento médico: Encaminhar o material em tubo cônico, mínimo 1 mL, imediatamente após a coleta.
Biópsia de medula ou Linfonodo - procedimento médico: Encaminhar o material em tubo conico, com NaCl 0,9%, imediatamente após a coleta.
Importante informar qual a amostra no momento do cadastro. As amostras devem ser enviadas para o NTO Central da AFIP de segunda à sexta-feira.
REJEIÇÃO DE AMOSTRA:Coleta realizada em tubo e/ou frasco inadequado.Tubo enviado em temperatura inadequada.
Material coagulado em tubo de EDTA.Amostra fora da estabilidade.Amostras sem questionário obrigatório. - (IMUNF)VOLUME MÍNIMO:
2ml ou 4ml, conforme especificação no tubo de coleta utilizado.
";"- (IMUNF)ENCAMINHAMENTO:Temperatura ambiente.
ESTABILIDADE:Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.
Líquor com transfix: 72h refrigerado (2ºC a 8ºC).
";"A imunofenotipagem é realizada pela citometria de fluxo, sendo uma técnica multiparamétrica é importante para o diagnóstico, prognóstico, estadiamento, acompanhamento de terapêutica, assim como para classificação de neoplasias hematológicas. Ela tem como base a análise do ganho ou perda de expressão dos anticorpos expressos por cada célula sanguínea durante a diferenciação celular com posterior interpretação dos dados, identificando assim a ausência ou presença de populações anômalas. A análise multiparamétrica através da citometria de fluxo é um método rápido, objetivo e quantitativo para:- Determinação de linhagem celular. Além de determinar a linhagem nos grandes grupos, mielóide, células B, T e NK, a caracterização imunológica contribui sobremaneira para a classificação em subgrupos mais específicos como a Leucemia Mielóide Aguda (LMA) com diferenciação mielóide mínima (M0 da FAB), LMA sem maturação, leucemia eritroblástica aguda, leucemia megacarioblástica aguda e leucemias bifenotípicas;- Caracterização do estadio de maturação das células malignas contribuindo na definição diagnóstica como no caso das doenças linfoproliferativas crônicas;- Definição da linhagem celular na crise blástica de síndromes mieloproliferativas crônicas;- No diagnóstico diferencial entre linfocitose reacional e proliferação neoplásica de células B, identificação da clonalidade através da restrição de cadeia leve de imunoglobulina;- Caracterização da heterogeneidade e dos aspectos aberrantes das populações de células malignas, permitindo aplicar estas observações no monitoramento da terapia e detecção de doença residual mínima.";- (IMUNF)INTERFERENTE(S):Temperatura.Hemólise.Degeneração da amostra (presença de células em apoptose).Coágulos e/ou Microcoágulos.;- (IMUNF)PACIENTE:A imunofenotipagem por citometria de fluxo é útil para diagnosticar as doenças onco-hematológicas como leucemias agudas, linfomas, síndrome mielodisplásica, mieloma. Ainda, permite avaliar a efetividade do tratamento através da pesquisa de doença residual mínima.De um modo geral, a imunofenotipagem das leucemias agudas é realizada, preferencialmente, em medula óssea, enquanto a das leucemias crônicas são no sangue periférico. Exame realizado em sangue periférico, medula óssea, linfonodo, líquido ascítico, líquido pleural, líquor e biópsia.É obrigatório envio da cópia do pedido médico com telefone para contato e o documento FRCOL349: Questionátio para imunofenotipagem-mielograma preenchido corretamente.JEJUM:Jejum desejavel de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
802;HIVCV;HIV - PCR QUANTITATIVO [CARGA VIRAL];02 dias úteis;"HIV,  carga viral (HIV - PCR quantitativo);";COLETA491, VOLUME111;Plasma com EDTA;PCR em Tempo Real (Cobas 4800 - Roche);"- (HIVCV)COLETA:
Plasma com EDTA em Tubo PPT (tampa perolizada).
Clientes Brasil Apoio:
Sugerimos que o material seja colhido e enviado em tubo primário.
Porém, caso o laboratório prefira encaminhar em alíquota, esta não será rejeitada.

Unidades AFIP Medicina Diagnóstica: Envio exclusivamente em tubo primário. Não manipular o material.
REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HIVCV)VOLUME MÍNIMO:
2 mL.

";"- (HIVCV)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 3 dias.Congelada (-20°C): não se aplica.";"A quantificação do RNA do HIV é considerada o marcador laboratorial mais adequado para o estabelecimento do prognóstico de indivíduos infectados, assim como para o acompanhamento da resposta à terapêutica anti-retroviral.

A solicitação e a interpretação dos resultados dos exames que compõem o Fluxograma mínimo para o Diagnóstico Laboratorial da Infecção pelo HIV devem ser realizadas pelo médico solicitante. Ao Laboratório de Apoio cabe informar os procedimentos disponíveis para o cadastro e as informações gerais pré-analíticas. Os Laudos dos exames liberados contêm, além do resultado, notas interpretativas e notas gerais que orientam o seguimento do Fluxograma selecionado.
Em casos de resultados reagentes ou indeterminados no teste de triagem, será sugerido no laudo, a solicitação do Exame de Triagem realizado com nova amostra (HIV Confirmatório, nova amostra), seguindo o “Fluxograma mínimo para o Diagnóstico Laboratorial da Infecção pelo HIV em Indivíduos com idade acima de 18 meses, conforme estabelecido pela Portaria nº 29, de 17 de dezembro de 2013. Esta amostra deverá ser coletada, em momento diferente da primeira, e encaminhada ao laboratório para a análise.";;"- (HIVCV)PACIENTE:
Unidades AFIP Medicina Diagnóstica: Solicitar o RG do paciente na sala de coleta.
Paciente tem que assinar termo de ciência, se necessário confirmação por nova coleta.

JEJUM:
Não se aplica.
";;;;
803;HEM;HEMOGRAMA COMPLETO;01 dia útil;;COLETA517, VOLUME138;Sangue total (EDTA);Citoquímico/Isovolumétrico;"- (HEM)COLETA:
Punção venosa em tubo com EDTA (tampa roxa).

REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Amostra coagulada.
- (HEM)VOLUME MÍNIMO:
2 mL ou 4 mL, conforme especificação no tubo de coleta utilizado.
";"- (HEM)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2-8 ºC): 48 horas.
Congelada (-20 ºC): não se aplica.
";O hemograma corresponde a um conjunto de testes laboratoriais que estabelece os aspectos quantitativos e qualitativos dos eritrócitos (eritrograma), dos leucócitos (leucograma) e das plaquetas. O eritrograma inclui os parâmetros que determinam o perfil hematológico da série vermelha no sangue periférico. É constituído por contagem de eritrócitos, dosagem de hemoglobina, hematócrito, índices hematimétricos e avaliação da morfologia eritrocitária. O leucograma engloba a determinação do perfil da série branca no sangue periférico onde é feita a contagem global e diferencial de leucócitos juntamente com a análise das alterações morfológicas no sangue. O hemograma auxilia na elucidação do estado geral da saúde como, por exemplo, anemias, inflamações, infecções, hemorragias, leucemias, síndromes (doenças hereditárias) bem como, acompanhamento em tratamentos.;;"- (HEM)PACIENTE:
Evitar dieta rica em gordura antes da coleta.
JEJUM:
Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
804;ABO;TIPAGEM SANGUINEA ABO-RH;01 dia útil;Grupo sanguíneo ABO-Rh - Tipagem sanguínea., Sorotipagem ,  sangue total.;COLETA203, Volume38;Sangue total (EDTA);Hemaglutinação em Gel;"- (ABO)COLETA:Sangue total com EDTA (1 tubo). Coleta: punção venosa em tubo com EDTA (tampa roxa).Não manipular o material, enviar em tubo primário.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão. - (ABO)VOLUME MÍNIMO:
2ml ou 4ml, conforme especificação no tubo de coleta utilizado.
";- (ABO)ENCAMINHAMENTO:Sangue total com EDTA.Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 3 dias.Congelada (-20°C): não se aplica.;O exame é útil na determinação do tipo sanguíneo, a determinação dos antígenos eritrocitários deve ser realizada antes de transfusão e doações sanguíneas, transplantes e avaliação pré-natal.;- (ABO)INTERFERENTE(S):Transfusão recente.Crioaglutininas.Anemias hemolíticas.;"- (ABO)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
805;CRE;CREATININA SERICA;01 dia útil;Creatininemia, RFG, Taxa de Filtração Glomerular, TFG, CRE;COLETA1, Volume1;Soro;Colorimétrico - Jaffe;"- (CRE)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (CRE)VOLUME MÍNIMO:1 mL. ";- (CRE)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A medida da creatinina é útil na avaliação da função de filtração dos rins. Estará elevada nos processo renais agudos e crônicos. Apresenta vantagens em relação à medida da ureia.;;- (CRE)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
806;COL;COLESTEROL;02 dias úteis;Colesterol total, Colesterolemia;COLETA1, Volume1;Soro;Colorimétrico - Peroxidase;"- (COL)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (COL)VOLUME MÍNIMO:1 mL. ";- (COL)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 7 dias.Congelada (-20°C): 30 dias.;Concentrações elevadas de colesterol estão relacionadas ao risco do desenvolvimento de aterosclerose, afetando, principalmente, as artérias do coração e do cérebro. Este exame, geralmente, é solicitado em conjunto com HDL-colesterol e LDL-colesterol, para melhor avaliar a possibilidade de risco de doença aterosclerótica.;;"- (COL)PACIENTE:- Sugerimos manter a dieta habitual nos cinco dias que antecedem a realização deste exame, sem a ingestão de bebidas alcoólicas nas últimas 72 horas.
- Caso solicitado em jejum, recomendamos que o jejum não seja superior a 14 horas.
- Na data que antecede o exame, orientamos que a prática de exercício/ atividade física seja de leve intensidade ou, se possível, a suspensão da atividade física nas 24h que antecedem o exame.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
807;AUR;ÁCIDO ÚRICO SÉRICO;01 dia útil;Uricemia, Urato, Uratos;COLETA1, Volume1;Soro;Enzimático - Uricase;"- (AUR)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (AUR)VOLUME MÍNIMO:1 mL. ";- (AUR)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;O ácido úrico é um metabólito final das purinas, secretado pelos rins, mas não há relação direta entre os níveis séricos e urinários. Níveis elevados podem ser observados na gota, na calculose renal e na nefropatia úrica.;;- (AUR)PACIENTE:Não se aplica.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
808;URI;URINA I;01 dia útil;URINA tipo 1, Urina comum, EQU, EAS, Exame qualitativo de urina, Urina jato médio, Sumário de Urina;COLETA508, VOLUME129;Urina (jato médio);Manual e/ou Automação - Citometria de Fluxo;"- (URI)COLETA:
As amostras devem ser coletadas em tubo cônico ou frasco coletor universal sem nenhum conservante.

REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Cliente menstruada que não colheu material com tampão vaginal.
Volume abaixo de 5mL.
- (URI)VOLUME MÍNIMO:
Ideal o envio de 10 ml em tubo cônico quando possível.
Caso contrário, enviar um volume no mínimo 5ml.
";"- (URI)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: 2 horas.
Refrigerada (2-8 ºC): 24 horas.
Congelada (-20 ºC): não se aplica.
";Utilizado para identificar infecções do trato urinário, doenças renais.;"- (URI)INTERFERENTE(S):
Contraste radiológico antes das 48 horas que antecedem o exame.
Hematúria.
Medicamentos que alteram a coloração da urina.
";"- (URI)PACIENTE:
Exame realizado preferencialmente no laboratório, em amostra de urina isolada.
Coletar, preferencialmente, a primeira urina da manhã.
Se isto não for possível, deve-se ficar duas horas sem urinar antes de colher a amostra.
Não há necessidade de ingerir líquidos previamente para induzir a diurese.
Não utilizar creme vaginal, nas 48 horas que precedem o exame.
JEJUM:
Jejum não obrigatório ou conforme orientações do profissional solicitante.
";;;;
810;GLI;GLICOSE NO PLASMA;01 dia útil;Glicose no plasma, Dosagem de glicose em plasma, Glicemia dosagem no plasma, Glicemia no plasma;COLETA466, VOLUME85;Plasma (fluoreto);Colorimétrico - Enzimático;"- (GLI)COLETA:
Plasma fluoretado. Punção venosa em tubo com fluoreto (tampa cinza).
Após a coleta o tubo poderá ser centrifugado e o plasma aliquotado em tubo seco limpo e sem aditivos (tubo de transporte).

REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
Amostra não centrifugada ou centrifugada inadequadamente.
- (GLI)VOLUME MÍNIMO:
1 mL.

";"- (GLI)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.
Amostras colhidas em tubo de fluoreto, poderão ser centrifugadas em tempo superior a 60 minutos após a coleta.
Após a centrifugação para obtenção do plasma, transferir o material em tubo de transporte sem aditivos.
Devido a característica do anticoagulante de inibidor glicolítico, amostras colhidas em fluoreto poderão ser processadas em até 24 horas após a coleta sem que haja centrifugação da amostra.
ATENÇÃO: Cadastrar GLI para centrifugação superior a 60 minutos. Cadastrar GLIS para centrifugação em até 60 minutos.

ESTABILIDADE:
Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.
";A medida de glicose de jejum no sangue é útil para o diagnóstico de algumas doenças que podem provocar hiperglicemias ou hipoglicemias.;;"- (GLI)PACIENTE:- Na data que antecede o exame, sugere-se que a prática de atividade física seja de leve intensidade ou, se possível, suspensa nas 24h que antecedem o exame.- Para pacientes diabéticos em uso de medicações via oral (comprimidos hipoglicemiantes) e/ou insulina seguir as orientações do médico assistente.- Como alternativa fica a sugestão de aplicar a insulina ou a medicação (comprimido hipoglicemiante) após coleta do exame e da alimentação.
JEJUM:Este exame requer um jejum de 8 horas.Para bebês ou até 2 anos: jejum de duas horas após mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.";;;;
811;VDRL;VDRL (MODIFICADO);02 dias úteis;VDRL, Sífilis, Floculação VDRL, Anticorpos não treponêmicos;COLETA1, Volume2;Soro;Floculação;"- (VDRL)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (VDRL)VOLUME MÍNIMO:2 mL. ";"- (VDRL)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): não se aplica.
";É um teste útil no diagnóstico e acompanhamento de pacientes com sífilis. Os resultados são expressos em títulos de VDRL. Este teste é inespecífico, ou seja, quando positivo, deve ser confirmado por um teste treponêmico, já que o VDRL pode apresentar positividade na presença de doenças reumatológicas e auto-imunes, como LES (lupus eritematoso sistêmico), malária, e algumas infecções crônicas. Os títulos do teste não treponêmico diminuem gradualmente após o tratamento, podendo ficar positivo, em baixos títulos (≤1:8), por vários meses ou anos, o que não  necessariamente indica atividade da doença ou falha do tratamento. No entanto, conhecer o resultado do teste pode ajudar a acompanhar a evolução caso haja suspeita de reinfecção.;;- (VDRL)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
812;FALC;FALCIZACAO;02 dias úteis;;Volume38;Sangue total (EDTA);Metabissulfito de Sódio;"- (FALC)VOLUME MÍNIMO:
2ml ou 4ml, conforme especificação no tubo de coleta utilizado.
";;;;;"
Sangue total (EDTA)";"Instruções de jejum:
Jejum desejável 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"
Sangue total com EDTA

Coleta: punção venosa em tubo com EDTA (tampa 
roxa).
";"

Acondicionamento:
Transporte: caixa termica com gelox (13ºC a 22ºC)
Apos triagem: refrigerado (2ºC a 8ºC)

Estabilidade da amostra:
Refrigerado em temperatura de 2 a 8º até 48 horas.
Em temperatura ambiente 24 horas.

AFIP"
813;COOD;COOMBS DIRETO;02 dias úteis;TAD - Teste direto de antiglobulina humana;COLETA203, Volume38;Sangue total (EDTA);Hemaglutinação em Gel;"- (COOD)COLETA:Sangue total com EDTA (1 tubo). Coleta: punção venosa em tubo com EDTA (tampa roxa).Não manipular o material, enviar em tubo primário.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão. - (COOD)VOLUME MÍNIMO:
2ml ou 4ml, conforme especificação no tubo de coleta utilizado.
";- (COOD)ENCAMINHAMENTO:Sangue total com EDTA.Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): não se aplica.;Coombs Direto positivo pode ocorrer em decorrência de: anemia hemolítica do recém-nascido por incompatibilidade dos sistemas AB0 ou Rh, anemia hemolítica auto-imune idiopática, anemia hemolítica induzida por medicamentos. Alguns medicamentos indutores: acetofenetidina, ácido etacrínico, ácido flufenâmico, ácido melenâmico, alfametildopa (Aldomet), antiinflamatórios não esteróideos, cefalosporinas, cefalotina, cefaloridina, cefapirina, cefazolina, clorodiazepóxido, cimetidina, ethosuximida, fenacetina, levodopa, penicilinas, p-aminossalicilato, procainamida, quinidina, quinina e tetraciclina.;- (COOD)INTERFERENTE(S):Na coleta de sangue do cordão, tomar cuidado para não adicionar a substância gelatinosa (geléia de Wharton), pois esta interfere nos resultados, ocasionando reação falso-positiva no mieloma múltiplo e na macroglobulinemia de Waldenström.;"- (COOD)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
814;TLSA;TESTOSTERONA;01 dia corrido;Testosterona Total, Testo Total, Testo;COLETA1, Volume1;Soro;Quimioluminescência;"- (TTT)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (TTT)VOLUME MÍNIMO:1 mL. ";"- (TTT)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 2 dias.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.
";Testosterona total é a soma das três diferentes formas de testosterona: testosterona ligada à SHBG (Sex Hormone Binding Globulin), testosterona ligada à albumina e testosterona livre. A dosagem de testosterona total pode auxiliar no diagnóstico de puberdade precoce, hipogonadismo masculino, síndrome dos ovários policísticos, tumores ovarianos e adrenais.;"- (TTT)INTERFERENTE(S):Gravidez.
Anticoncepcionais e anabolizantes.
Reposição hormonal à base de testosterona (oral, gel, intramuscular, implante hormonal).
Biotina e suplementos alimentares que contenham biotina.";"- (TTT)PACIENTE:Preferencialmente a coleta deve ser realizada até duas horas após o horário habitual de acordar ou conforme solicitação médica.
Medicação: Informar as medicações em uso, inclusive os anticoncepcionais e anabolizantes. Informar se está ou esteve em uso de reposição hormonal à base
de testosterona (oral, gel, intramuscular, implante hormonal).
Pacientes em uso de gel de testosterona não devem aplicar a medicação nos antebraços (aplicá-los em outros locais do corpo) nos 2 dias que antecedem o
exame, para evitar a possibilidade de contaminação da agulha e amostra com o gel.
O uso de biotina e suplementos alimentares que contenham biotina devem ser suspensos 3 dias antes da coleta.
JEJUM:Jejum de 8 hs, ou conforme orientações do profissional solicitante. Estudos epidemiológicos evidenciam que a ausência do jejum pode
levar a uma diminuição nos níveis medianos de testosterona total.";;;;
815;ASLO;ASLO-ANTI-ESTREPTOLISINA O;01 dia corrido;Anti estreptolisina O, Antiestreptolisina O, ASLO;COLETA1, Volume1;Soro;Imunoturbidimetria;"- (ASLO)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ASLO)VOLUME MÍNIMO:1 mL. ";- (ASLO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A medida da antiestreptolisina O é útil para o diagnóstico de infecções por estreptococos beta hemolítico, do grupo A. Os níveis estão elevados em pacientes com febre reumática. Algumas vezes, há necessidade de dosagens seriadas, com intervalo de 4 semanas, para uma correta avaliação do significado clínico de resultados alterados..;;- (ASLO)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
816;PCR;PCR - PROTEINA C REATIVA;01 dia útil;PCR, PCR - Não Ultrassensível, Proteína C reativa não ultrassensível;COLETA1, Volume1;Soro;Imunoturbidimetria;"- (PCR)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (PCR)VOLUME MÍNIMO:1 mL. ";- (PCR)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;A proteína C Reativa é uma das principais proteínas de fase aguda positiva, ou seja sua concentração se eleva frente a um processo infeccioso, inflamatório, traumático ou neoplásico. Sua medida é útil no acompanhamento de pacientes com febre reumática. Caracteristicamente, esta proteína não se eleva significativamente em resposta a processos infecciosos virais. Esta proteína também é considerada como um indicador de risco para doença aterosclerótica.;;- (PCR)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
817;FREU;FATOR REUMATOIDE;01 dia corrido;FR, Látex,  Prova do látex,  Artrite reumatóide látex;COLETA1, Volume1;Soro;Imunoturbidimetria;"- (FREU)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (FREU)VOLUME MÍNIMO:1 mL. ";- (FREU)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 2 dias.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;O fator reumatóide é um auto-anticorpo, em geral, da classe IgM, dirigido contra um fragmento da imunoglobulina G.  A sua pesquisa tem aplicação na avaliação dos pacientes com suspeita ou diagnóstico de artrite reumatóide. Cerca de 80% dos pacientes adultos com esta doença apresentam a pesquisa positiva. Outras doenças auto-imunes, como lúpus eritematoso sistêmico, Síndrome de Sjögren e dermatomiosites podem também podem fornecer resultados positivos para fator reumatóide.;;- (FREU)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
818;TOXOM;TOXOPLASMOSE;02 dias úteis;Anticorpos totais Toxoplasmose, Toxoplasmose IgG e IgM, Toxo IgG e IgM;COLETA1, Volume2;Soro;Quimioluminescência;"- (TOXO)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (TOXO)VOLUME MÍNIMO:2 mL. ";- (TOXO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 3 dias.Refrigerada (2°C-8°C): 10 dias.Congelada (-20°C): 30 dias.;"O anticorpo IgG para toxoplasma é útil para avaliar se um indivíduo já foi infectado ou não pelo Toxoplasma gondii que é o parasita causador da toxoplasmose. Um resultado positivo indica que houve contato prévio com o parasita. Caso seja negativo, mas exista forte suspeita da doença, é recomendado que se repita o exame após um período de tempo para verificar a possibilidade de soro conversão.
A pesquisa de anticorpos IgM contra o toxoplasma é utilizada para confirmação diagnóstica de infecção aguda, ou mesmo verificar a reagudização de uma doença latente e também no pré-natal para avaliar o risco de toxoplasmose congênita. O anticorpo IgM pode ser detectado por até 15 meses ou mais após infecção aguda ou reinfecção, portanto não deve ser interpretado sempre como presença de doença aguda, principalmente na gestante, devendo neste caso, realizar outros exames para avaliação.";;- (TOXO)PACIENTE:Não se aplica.JEJUM:Jejum desejável de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
